id,name
48,Alberta
59,British Columbia
46,Manitoba
13,New Brunswick
10,Newfoundland and Labrador
61,Northwest Territories
12,Nova Scotia
62,Nunavut
35,Ontario
11,Prince Edward Island
24,Quebec
47,Saskatchewan
60,Yukon
